population,n_responders,n_non_responders,median_responders,median_non_responders,u_statistic,p_value,p_value_adjusted,significant
cd4_t_cell,993,975,30.2206,29.6576,515277.5,0.01333977320368344,0.06669886601841721,False
b_cell,993,975,9.4323,9.7884,459968.0,0.05567186466219834,0.13917966165549583,False
nk_cell,993,975,14.5093,14.7991,464546.5,0.12106031279217618,0.20176718798696028,False
monocyte,993,975,19.6097,19.9423,466509.0,0.1631261907294167,0.20390773841177087,False
cd8_t_cell,993,975,24.728,24.6031,478175.5,0.6390575277665635,0.6390575277665635,False
